VCD info: dumpfile mips.vcd opened for output.

wire en_hzd = 1'b1; /* ハザード検出 */
wire en_fwd = 1'b1; /* フォワーディング */
wire en_dly = 1'b0; /* 遅延分岐 */

  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  002d8 | 004000f4 | 00000000 0 0  0  0  0 | 10010188 fffffffd | 00000000 00000000 | 17  10010188
  002d9 | 004000f8 | 8e290000 0 0 17  0  9 | 00000000 00000000 | 00000000 10010190 |  0  00000000
  002da | 004000fc | 22310004 0 0 17  0 17 | 10010188 00000000 | 00000000 00000000 |  0  00000000
  002db | 00400100 | 1632fffd 1 0 17 18  0 | 10010188 00000004 | 10010188 00000000 |  0  00000000
  002dc | 00400100 | 1632fffd 0 1 17 18  0 | 00000000 00000000 | 1001018c 00000000 |  9  xxxxxxxx
  002dd | 004000f4 | 00000000 0 0  0  0  0 | 1001018c fffffffd | 00000000 00000000 | 17  1001018c
  002de | 004000f8 | 8e290000 0 0 17  0  9 | 00000000 00000000 | 00000000 10010190 |  0  00000000
  002df | 004000fc | 22310004 0 0 17  0 17 | 1001018c 00000000 | 00000000 00000000 |  0  00000000
  002e0 | 00400100 | 1632fffd 1 0 17 18  0 | 1001018c 00000004 | 1001018c 00000000 |  0  00000000
  002e1 | 00400100 | 1632fffd 0 1 17 18  0 | 00000000 00000000 | 10010190 00000000 |  9  xxxxxxxx
  002e2 | 00400104 | ae690000 0 0 19  9  0 | 10010190 fffffffd | 00000000 00000000 | 17  10010190
  002e3 | 00400108 | 00000000 0 0  0  0  0 | 10018000 00000000 | 00000000 10010190 |  0  00000000
  002e4 | 0040010c | 2402000a 0 0  0  0  2 | 00000000 00000000 | 10018000 xxxxxxxx |  0  00000000
  002e5 | 00400110 | 0000000c 0 0  0  0  0 | 00000000 0000000a | 00000000 00000000 |  0  10018000
  002e6 | 00400114 | 00000000 0 0  0  0  0 | 00000000 00000000 | 0000000a 00000000 |  0  00000000
  002e7 | 00400118 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  2  0000000a
  002e8 | 0040011c | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  ram[ 0]=00000001
  ram[ 1]=00000002
  ram[ 2]=00000003
  ram[ 3]=00000004
  ram[ 4]=xxxxxxxx
  ram[ 5]=xxxxxxxx
  ram[ 6]=xxxxxxxx
  ram[ 7]=xxxxxxxx
  ram[ 8]=xxxxxxxx
  ram[ 9]=xxxxxxxx
  ram[10]=xxxxxxxx
  ram[11]=xxxxxxxx
  ram[12]=xxxxxxxx
  ram[13]=xxxxxxxx
  ram[14]=xxxxxxxx
  ram[15]=xxxxxxxx
  ram[16]=xxxxxxxx
  ram[17]=xxxxxxxx
  ram[18]=xxxxxxxx
  ram[19]=xxxxxxxx
  ram[20]=xxxxxxxx
  ram[21]=xxxxxxxx
  ram[22]=xxxxxxxx
  ram[23]=xxxxxxxx
  ram[24]=xxxxxxxx
  ram[25]=xxxxxxxx
  ram[26]=xxxxxxxx
  ram[27]=xxxxxxxx
  ram[28]=xxxxxxxx
  ram[29]=xxxxxxxx
  ram[30]=xxxxxxxx
  ram[31]=xxxxxxxx
  ram[32]=xxxxxxxx
  ram[33]=xxxxxxxx
  ram[34]=xxxxxxxx
  ram[35]=xxxxxxxx
  ram[36]=xxxxxxxx
  ram[37]=xxxxxxxx
  ram[38]=xxxxxxxx
  ram[39]=xxxxxxxx
  ram[40]=xxxxxxxx
  ram[41]=xxxxxxxx
  ram[42]=xxxxxxxx
  ram[43]=xxxxxxxx
  ram[44]=xxxxxxxx
  ram[45]=xxxxxxxx
  ram[46]=xxxxxxxx
  ram[47]=xxxxxxxx
  ram[48]=xxxxxxxx
  ram[49]=xxxxxxxx
  ram[50]=xxxxxxxx
  ram[51]=xxxxxxxx
  ram[52]=xxxxxxxx
  ram[53]=xxxxxxxx
  ram[54]=xxxxxxxx
  ram[55]=xxxxxxxx
  ram[56]=xxxxxxxx
  ram[57]=xxxxxxxx
  ram[58]=xxxxxxxx
  ram[59]=xxxxxxxx
  ram[60]=xxxxxxxx
  ram[61]=xxxxxxxx
  ram[62]=xxxxxxxx
  ram[63]=xxxxxxxx
  ram[64]=xxxxxxxx
  ram[65]=xxxxxxxx
  ram[66]=xxxxxxxx
  ram[67]=xxxxxxxx
  ram[68]=xxxxxxxx
  ram[69]=xxxxxxxx
  ram[70]=xxxxxxxx
  ram[71]=xxxxxxxx
  ram[72]=xxxxxxxx
  ram[73]=xxxxxxxx
  ram[74]=xxxxxxxx
  ram[75]=xxxxxxxx
  ram[76]=xxxxxxxx
  ram[77]=xxxxxxxx
  ram[78]=xxxxxxxx
  ram[79]=xxxxxxxx
  ram[80]=xxxxxxxx
  ram[81]=xxxxxxxx
  ram[82]=xxxxxxxx
  ram[83]=xxxxxxxx
  ram[84]=xxxxxxxx
  ram[85]=xxxxxxxx
  ram[86]=xxxxxxxx
  ram[87]=xxxxxxxx
  ram[88]=xxxxxxxx
  ram[89]=xxxxxxxx
  ram[90]=xxxxxxxx
  ram[91]=xxxxxxxx
  ram[92]=xxxxxxxx
  ram[93]=xxxxxxxx
  ram[94]=xxxxxxxx
  ram[95]=xxxxxxxx
  ram[96]=xxxxxxxx
  ram[97]=xxxxxxxx
  ram[98]=xxxxxxxx
  ram[99]=xxxxxxxx
  cycle =     744
