VCD info: dumpfile mips.vcd opened for output.
  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  00016 | 00400040 | afbf0004 0 1 29 31  0 | 10017ff4 fffffff8 | 00000005 00000000 | 31  00400064
  00017 | 00400044 | 28880001 0 0  4  0  8 | 10017fec 00000004 | 10017fec 00000000 |  4  00000005
  00018 | 00400048 | 11000004 1 0  8  0  0 | 00000005 00000001 | 10017ff0 00400064 | 29  10017fec
  00019 | 00400048 | 11000004 0 1  8  0  0 | 00000000 00000000 | 00000000 00000000 |  0  10017ff0
  0001a | 00400058 | afb00000 0 0 29 16  0 | 00000000 00000004 | 00000000 00000000 |  8  00000000
  0001b | 0040005c | 00048020 0 0  0  4 16 | 10017fec 00000000 | 00000000 00000000 |  0  00000000
  0001c | 00400060 | 0c10000e 0 0  0  0 31 | 00000000 00000005 | 10017fec 00000006 |  0  00000000
  0001d | 00400038 | 2084ffff 0 0  4  0  4 | 00000000 0000000e | 00000005 00000005 |  0  10017fec
  0001e | 0040003c | 23bdfff8 0 0 29  0 29 | 00000005 ffffffff | 00400064 00000000 | 16  00000005
  0001f | 00400040 | afbf0004 0 1 29 31  0 | 10017fec fffffff8 | 00000004 00000000 | 31  00400064
  00020 | 00400044 | 28880001 0 0  4  0  8 | 10017fe4 00000004 | 10017fe4 00000000 |  4  00000004
  00021 | 00400048 | 11000004 1 0  8  0  0 | 00000004 00000001 | 10017fe8 00400064 | 29  10017fe4
  00022 | 00400048 | 11000004 0 1  8  0  0 | 00000000 00000000 | 00000000 00000000 |  0  10017fe8
  00023 | 00400058 | afb00000 0 0 29 16  0 | 00000000 00000004 | 00000000 00000000 |  8  00000000
  00024 | 0040005c | 00048020 0 0  0  4 16 | 10017fe4 00000000 | 00000000 00000000 |  0  00000000
  00025 | 00400060 | 0c10000e 0 0  0  0 31 | 00000000 00000004 | 10017fe4 00000005 |  0  00000000
  00026 | 00400038 | 2084ffff 0 0  4  0  4 | 00000000 0000000e | 00000004 00000004 |  0  10017fe4
  00027 | 0040003c | 23bdfff8 0 0 29  0 29 | 00000004 ffffffff | 00400064 00000000 | 16  00000004
  00028 | 00400040 | afbf0004 0 1 29 31  0 | 10017fe4 fffffff8 | 00000003 00000000 | 31  00400064
  00029 | 00400044 | 28880001 0 0  4  0  8 | 10017fdc 00000004 | 10017fdc 00000000 |  4  00000003
  0002a | 00400048 | 11000004 1 0  8  0  0 | 00000003 00000001 | 10017fe0 00400064 | 29  10017fdc
  0002b | 00400048 | 11000004 0 1  8  0  0 | 00000000 00000000 | 00000000 00000000 |  0  10017fe0
  0002c | 00400058 | afb00000 0 0 29 16  0 | 00000000 00000004 | 00000000 00000000 |  8  00000000
  0002d | 0040005c | 00048020 0 0  0  4 16 | 10017fdc 00000000 | 00000000 00000000 |  0  00000000
  0002e | 00400060 | 0c10000e 0 0  0  0 31 | 00000000 00000003 | 10017fdc 00000004 |  0  00000000
  0002f | 00400038 | 2084ffff 0 0  4  0  4 | 00000000 0000000e | 00000003 00000003 |  0  10017fdc
  00030 | 0040003c | 23bdfff8 0 0 29  0 29 | 00000003 ffffffff | 00400064 00000000 | 16  00000003
  00031 | 00400040 | afbf0004 0 1 29 31  0 | 10017fdc fffffff8 | 00000002 00000000 | 31  00400064
  00032 | 00400044 | 28880001 0 0  4  0  8 | 10017fd4 00000004 | 10017fd4 00000000 |  4  00000002
  00033 | 00400048 | 11000004 1 0  8  0  0 | 00000002 00000001 | 10017fd8 00400064 | 29  10017fd4
  00034 | 00400048 | 11000004 0 1  8  0  0 | 00000000 00000000 | 00000000 00000000 |  0  10017fd8
  00035 | 00400058 | afb00000 0 0 29 16  0 | 00000000 00000004 | 00000000 00000000 |  8  00000000
  00036 | 0040005c | 00048020 0 0  0  4 16 | 10017fd4 00000000 | 00000000 00000000 |  0  00000000
  00037 | 00400060 | 0c10000e 0 0  0  0 31 | 00000000 00000002 | 10017fd4 00000003 |  0  00000000
  00038 | 00400038 | 2084ffff 0 0  4  0  4 | 00000000 0000000e | 00000002 00000002 |  0  10017fd4
  00039 | 0040003c | 23bdfff8 0 0 29  0 29 | 00000002 ffffffff | 00400064 00000000 | 16  00000002
  0003a | 00400040 | afbf0004 0 1 29 31  0 | 10017fd4 fffffff8 | 00000001 00000000 | 31  00400064
  0003b | 00400044 | 28880001 0 0  4  0  8 | 10017fcc 00000004 | 10017fcc 00000000 |  4  00000001
  0003c | 00400048 | 11000004 1 0  8  0  0 | 00000001 00000001 | 10017fd0 00400064 | 29  10017fcc
  0003d | 00400048 | 11000004 0 1  8  0  0 | 00000000 00000000 | 00000000 00000000 |  0  10017fd0
  0003e | 00400058 | afb00000 0 0 29 16  0 | 00000000 00000004 | 00000000 00000000 |  8  00000000
  0003f | 0040005c | 00048020 0 0  0  4 16 | 10017fcc 00000000 | 00000000 00000000 |  0  00000000
  00040 | 00400060 | 0c10000e 0 0  0  0 31 | 00000000 00000001 | 10017fcc 00000002 |  0  00000000
  00041 | 00400038 | 2084ffff 0 0  4  0  4 | 00000000 0000000e | 00000001 00000001 |  0  10017fcc
  00042 | 0040003c | 23bdfff8 0 0 29  0 29 | 00000001 ffffffff | 00400064 00000000 | 16  00000001
  00043 | 00400040 | afbf0004 0 1 29 31  0 | 10017fcc fffffff8 | 00000000 00000000 | 31  00400064
  00044 | 00400044 | 28880001 0 0  4  0  8 | 10017fc4 00000004 | 10017fc4 00000000 |  4  00000000
  00045 | 00400048 | 11000004 1 0  8  0  0 | 00000000 00000001 | 10017fc8 00400064 | 29  10017fc4
  00046 | 00400048 | 11000004 0 1  8  0  0 | 00000000 00000000 | 00000001 00000000 |  0  10017fc8
  00047 | 0040004c | afb00000 0 0 29 16  0 | 00000001 00000004 | 00000000 00000000 |  8  00000001
  00048 | 00400050 | 20090001 0 0  0  0  9 | 10017fc4 00000000 | 00000000 00000000 |  0  00000000
  00049 | 00400054 | 03e00008 0 0 31  0  0 | 00000000 00000001 | 10017fc4 00000001 |  0  00000000
  0004a | 00400064 | 23bd0008 0 0 29  0 29 | 00400064 00000000 | 00000001 00000000 |  0  10017fc4
  0004b | 00400068 | 0810001f 0 0  0  0  0 | 10017fc4 00000008 | 00000000 00000000 |  9  00000001
  0004c | 0040007c | 00000000 0 0  0  0  0 | 00000000 0000001f | 10017fcc 00000000 |  0  00000000
  0004d | 00400080 | 220b0000 0 0 16  0 11 | 00000000 00000000 | 00000000 00000000 | 29  10017fcc
  0004e | 00400084 | 212c0000 0 0  9  0 12 | 00000001 00000000 | 00000000 00000000 |  0  00000000
  0004f | 00400088 | 20090000 0 0  0  0  9 | 00000001 00000000 | 00000001 00000000 |  0  00000000
  00050 | 0040008c | 1180fff8 0 1 12  0  0 | 00000000 00000000 | 00000001 00000000 | 11  00000001
  00051 | 00400090 | 00000000 0 0  0  0  0 | 00000001 fffffff8 | 00000000 00000000 | 12  00000001
  00052 | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 |  9  00000000
  00053 | 00400098 | 200e0001 0 0  0  0 14 | 00000001 00000001 | 00000000 00000000 |  0  00000000
  00054 | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000001 00000000 |  0  00000000
  00055 | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000001
  00056 | 004000a0 | 000c6042 0 0  0 12 12 | 00000001 00000002 | 00000000 00000000 | 14  00000001
  00057 | 004000a4 | 012b4820 0 0  9 11  9 | 00000000 00000001 | 00000000 00000001 |  0  00000000
  00058 | 004000a8 | 08100022 0 0  0  0  0 | 00000000 00000001 | 00000000 00000001 |  0  00000000
  00059 | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000001 00000001 | 12  00000000
  0005a | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000001 | 00000000 00000000 |  9  00000001
  0005b | 0040006c | 00000000 0 0  0  0  0 | 00000000 fffffff8 | 00000002 00000001 |  0  00000000
  0005c | 00400070 | 8fbf0004 0 0 29  0 31 | 00000000 00000000 | 00000000 00000000 | 11  00000002
  0005d | 00400074 | 8fb00000 0 0 29  0 16 | 10017fcc 00000004 | 00000000 00000000 |  0  00000000
  0005e | 00400078 | 03e00008 1 0 31  0  0 | 10017fcc 00000000 | 10017fd0 00000000 |  0  00000000
  0005f | 00400078 | 03e00008 0 0 31  0  0 | 00000000 00000000 | 10017fcc 00000000 | 31  00400064
  00060 | 00400064 | 23bd0008 0 0 29  0 29 | 00400064 00000000 | 00000000 00000000 | 16  00000002
  00061 | 00400068 | 0810001f 0 0  0  0  0 | 10017fcc 00000008 | 00000000 00000000 |  0  00000000
  00062 | 0040007c | 00000000 0 0  0  0  0 | 00000000 0000001f | 10017fd4 00000000 |  0  00000000
  00063 | 00400080 | 220b0000 0 0 16  0 11 | 00000000 00000000 | 00000000 00000000 | 29  10017fd4
  00064 | 00400084 | 212c0000 0 0  9  0 12 | 00000002 00000000 | 00000000 00000000 |  0  00000000
  00065 | 00400088 | 20090000 0 0  0  0  9 | 00000001 00000000 | 00000002 00000000 |  0  00000000
  00066 | 0040008c | 1180fff8 0 1 12  0  0 | 00000000 00000000 | 00000001 00000000 | 11  00000002
  00067 | 00400090 | 00000000 0 0  0  0  0 | 00000001 fffffff8 | 00000000 00000000 | 12  00000001
  00068 | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 |  9  00000000
  00069 | 00400098 | 200e0001 0 0  0  0 14 | 00000001 00000001 | 00000000 00000000 |  0  00000000
  0006a | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000001 00000000 |  0  00000000
  0006b | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000001
  0006c | 004000a0 | 000c6042 0 0  0 12 12 | 00000001 00000002 | 00000000 00000000 | 14  00000001
  0006d | 004000a4 | 012b4820 0 0  9 11  9 | 00000000 00000001 | 00000000 00000001 |  0  00000000
  0006e | 004000a8 | 08100022 0 0  0  0  0 | 00000000 00000002 | 00000000 00000001 |  0  00000000
  0006f | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000002 00000002 | 12  00000000
  00070 | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000002 | 00000000 00000000 |  9  00000002
  00071 | 0040006c | 00000000 0 0  0  0  0 | 00000000 fffffff8 | 00000004 00000002 |  0  00000000
  00072 | 00400070 | 8fbf0004 0 0 29  0 31 | 00000000 00000000 | 00000000 00000000 | 11  00000004
  00073 | 00400074 | 8fb00000 0 0 29  0 16 | 10017fd4 00000004 | 00000000 00000000 |  0  00000000
  00074 | 00400078 | 03e00008 1 0 31  0  0 | 10017fd4 00000000 | 10017fd8 00000000 |  0  00000000
  00075 | 00400078 | 03e00008 0 0 31  0  0 | 00000000 00000000 | 10017fd4 00000000 | 31  00400064
  00076 | 00400064 | 23bd0008 0 0 29  0 29 | 00400064 00000000 | 00000000 00000000 | 16  00000003
  00077 | 00400068 | 0810001f 0 0  0  0  0 | 10017fd4 00000008 | 00000000 00000000 |  0  00000000
  00078 | 0040007c | 00000000 0 0  0  0  0 | 00000000 0000001f | 10017fdc 00000000 |  0  00000000
  00079 | 00400080 | 220b0000 0 0 16  0 11 | 00000000 00000000 | 00000000 00000000 | 29  10017fdc
  0007a | 00400084 | 212c0000 0 0  9  0 12 | 00000003 00000000 | 00000000 00000000 |  0  00000000
  0007b | 00400088 | 20090000 0 0  0  0  9 | 00000002 00000000 | 00000003 00000000 |  0  00000000
  0007c | 0040008c | 1180fff8 0 1 12  0  0 | 00000000 00000000 | 00000002 00000000 | 11  00000003
  0007d | 00400090 | 00000000 0 0  0  0  0 | 00000002 fffffff8 | 00000000 00000000 | 12  00000002
  0007e | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 |  9  00000000
  0007f | 00400098 | 200e0001 0 0  0  0 14 | 00000002 00000001 | 00000000 00000000 |  0  00000000
  00080 | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000000 00000000 |  0  00000000
  00081 | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000000
  00082 | 004000a4 | 000c6042 0 0  0 12 12 | 00000000 00000002 | 00000000 00000000 | 14  00000001
  00083 | 004000a8 | 08100022 0 0  0  0  0 | 00000000 00000002 | 00000000 00000001 |  0  00000000
  00084 | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000001 00000002 |  0  00000000
  00085 | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000003 | 00000000 00000000 | 12  00000001
  00086 | 00400090 | 00000000 0 0  0  0  0 | 00000001 fffffff8 | 00000006 00000003 |  0  00000000
  00087 | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 | 11  00000006
  00088 | 00400098 | 200e0001 0 0  0  0 14 | 00000001 00000001 | 00000000 00000000 |  0  00000000
  00089 | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000001 00000000 |  0  00000000
  0008a | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000001
  0008b | 004000a0 | 000c6042 0 0  0 12 12 | 00000001 00000002 | 00000000 00000000 | 14  00000001
  0008c | 004000a4 | 012b4820 0 0  9 11  9 | 00000000 00000001 | 00000000 00000001 |  0  00000000
  0008d | 004000a8 | 08100022 0 0  0  0  0 | 00000000 00000006 | 00000000 00000001 |  0  00000000
  0008e | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000006 00000006 | 12  00000000
  0008f | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000006 | 00000000 00000000 |  9  00000006
  00090 | 0040006c | 00000000 0 0  0  0  0 | 00000000 fffffff8 | 0000000c 00000006 |  0  00000000
  00091 | 00400070 | 8fbf0004 0 0 29  0 31 | 00000000 00000000 | 00000000 00000000 | 11  0000000c
  00092 | 00400074 | 8fb00000 0 0 29  0 16 | 10017fdc 00000004 | 00000000 00000000 |  0  00000000
  00093 | 00400078 | 03e00008 1 0 31  0  0 | 10017fdc 00000000 | 10017fe0 00000000 |  0  00000000
  00094 | 00400078 | 03e00008 0 0 31  0  0 | 00000000 00000000 | 10017fdc 00000000 | 31  00400064
  00095 | 00400064 | 23bd0008 0 0 29  0 29 | 00400064 00000000 | 00000000 00000000 | 16  00000004
  00096 | 00400068 | 0810001f 0 0  0  0  0 | 10017fdc 00000008 | 00000000 00000000 |  0  00000000
  00097 | 0040007c | 00000000 0 0  0  0  0 | 00000000 0000001f | 10017fe4 00000000 |  0  00000000
  00098 | 00400080 | 220b0000 0 0 16  0 11 | 00000000 00000000 | 00000000 00000000 | 29  10017fe4
  00099 | 00400084 | 212c0000 0 0  9  0 12 | 00000004 00000000 | 00000000 00000000 |  0  00000000
  0009a | 00400088 | 20090000 0 0  0  0  9 | 00000006 00000000 | 00000004 00000000 |  0  00000000
  0009b | 0040008c | 1180fff8 0 1 12  0  0 | 00000000 00000000 | 00000006 00000000 | 11  00000004
  0009c | 00400090 | 00000000 0 0  0  0  0 | 00000006 fffffff8 | 00000000 00000000 | 12  00000006
  0009d | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 |  9  00000000
  0009e | 00400098 | 200e0001 0 0  0  0 14 | 00000006 00000001 | 00000000 00000000 |  0  00000000
  0009f | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000000 00000000 |  0  00000000
  000a0 | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000000
  000a1 | 004000a4 | 000c6042 0 0  0 12 12 | 00000000 00000002 | 00000000 00000000 | 14  00000001
  000a2 | 004000a8 | 08100022 0 0  0  0  0 | 00000000 00000006 | 00000000 00000001 |  0  00000000
  000a3 | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000003 00000006 |  0  00000000
  000a4 | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000004 | 00000000 00000000 | 12  00000003
  000a5 | 00400090 | 00000000 0 0  0  0  0 | 00000003 fffffff8 | 00000008 00000004 |  0  00000000
  000a6 | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 | 11  00000008
  000a7 | 00400098 | 200e0001 0 0  0  0 14 | 00000003 00000001 | 00000000 00000000 |  0  00000000
  000a8 | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000001 00000000 |  0  00000000
  000a9 | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000001
  000aa | 004000a0 | 000c6042 0 0  0 12 12 | 00000001 00000002 | 00000000 00000000 | 14  00000001
  000ab | 004000a4 | 012b4820 0 0  9 11  9 | 00000000 00000003 | 00000000 00000001 |  0  00000000
  000ac | 004000a8 | 08100022 0 0  0  0  0 | 00000000 00000008 | 00000001 00000003 |  0  00000000
  000ad | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000008 00000008 | 12  00000001
  000ae | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000008 | 00000000 00000000 |  9  00000008
  000af | 00400090 | 00000000 0 0  0  0  0 | 00000001 fffffff8 | 00000010 00000008 |  0  00000000
  000b0 | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 | 11  00000010
  000b1 | 00400098 | 200e0001 0 0  0  0 14 | 00000001 00000001 | 00000000 00000000 |  0  00000000
  000b2 | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000001 00000000 |  0  00000000
  000b3 | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000001
  000b4 | 004000a0 | 000c6042 0 0  0 12 12 | 00000001 00000002 | 00000000 00000000 | 14  00000001
  000b5 | 004000a4 | 012b4820 0 0  9 11  9 | 00000000 00000001 | 00000000 00000001 |  0  00000000
  000b6 | 004000a8 | 08100022 0 0  0  0  0 | 00000008 00000010 | 00000000 00000001 |  0  00000000
  000b7 | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000018 00000010 | 12  00000000
  000b8 | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000010 | 00000000 00000000 |  9  00000018
  000b9 | 0040006c | 00000000 0 0  0  0  0 | 00000000 fffffff8 | 00000020 00000010 |  0  00000000
  000ba | 00400070 | 8fbf0004 0 0 29  0 31 | 00000000 00000000 | 00000000 00000000 | 11  00000020
  000bb | 00400074 | 8fb00000 0 0 29  0 16 | 10017fe4 00000004 | 00000000 00000000 |  0  00000000
  000bc | 00400078 | 03e00008 1 0 31  0  0 | 10017fe4 00000000 | 10017fe8 00000000 |  0  00000000
  000bd | 00400078 | 03e00008 0 0 31  0  0 | 00000000 00000000 | 10017fe4 00000000 | 31  00400064
  000be | 00400064 | 23bd0008 0 0 29  0 29 | 00400064 00000000 | 00000000 00000000 | 16  00000005
  000bf | 00400068 | 0810001f 0 0  0  0  0 | 10017fe4 00000008 | 00000000 00000000 |  0  00000000
  000c0 | 0040007c | 00000000 0 0  0  0  0 | 00000000 0000001f | 10017fec 00000000 |  0  00000000
  000c1 | 00400080 | 220b0000 0 0 16  0 11 | 00000000 00000000 | 00000000 00000000 | 29  10017fec
  000c2 | 00400084 | 212c0000 0 0  9  0 12 | 00000005 00000000 | 00000000 00000000 |  0  00000000
  000c3 | 00400088 | 20090000 0 0  0  0  9 | 00000018 00000000 | 00000005 00000000 |  0  00000000
  000c4 | 0040008c | 1180fff8 0 1 12  0  0 | 00000000 00000000 | 00000018 00000000 | 11  00000005
  000c5 | 00400090 | 00000000 0 0  0  0  0 | 00000018 fffffff8 | 00000000 00000000 | 12  00000018
  000c6 | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 |  9  00000000
  000c7 | 00400098 | 200e0001 0 0  0  0 14 | 00000018 00000001 | 00000000 00000000 |  0  00000000
  000c8 | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000000 00000000 |  0  00000000
  000c9 | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000000
  000ca | 004000a4 | 000c6042 0 0  0 12 12 | 00000000 00000002 | 00000000 00000000 | 14  00000001
  000cb | 004000a8 | 08100022 0 0  0  0  0 | 00000000 00000018 | 00000000 00000001 |  0  00000000
  000cc | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 0000000c 00000018 |  0  00000000
  000cd | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000005 | 00000000 00000000 | 12  0000000c
  000ce | 00400090 | 00000000 0 0  0  0  0 | 0000000c fffffff8 | 0000000a 00000005 |  0  00000000
  000cf | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 | 11  0000000a
  000d0 | 00400098 | 200e0001 0 0  0  0 14 | 0000000c 00000001 | 00000000 00000000 |  0  00000000
  000d1 | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000000 00000000 |  0  00000000
  000d2 | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000000
  000d3 | 004000a4 | 000c6042 0 0  0 12 12 | 00000000 00000002 | 00000000 00000000 | 14  00000001
  000d4 | 004000a8 | 08100022 0 0  0  0  0 | 00000000 0000000c | 00000000 00000001 |  0  00000000
  000d5 | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000006 0000000c |  0  00000000
  000d6 | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 0000000a | 00000000 00000000 | 12  00000006
  000d7 | 00400090 | 00000000 0 0  0  0  0 | 00000006 fffffff8 | 00000014 0000000a |  0  00000000
  000d8 | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 | 11  00000014
  000d9 | 00400098 | 200e0001 0 0  0  0 14 | 00000006 00000001 | 00000000 00000000 |  0  00000000
  000da | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000000 00000000 |  0  00000000
  000db | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000000
  000dc | 004000a4 | 000c6042 0 0  0 12 12 | 00000000 00000002 | 00000000 00000000 | 14  00000001
  000dd | 004000a8 | 08100022 0 0  0  0  0 | 00000000 00000006 | 00000000 00000001 |  0  00000000
  000de | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000003 00000006 |  0  00000000
  000df | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000014 | 00000000 00000000 | 12  00000003
  000e0 | 00400090 | 00000000 0 0  0  0  0 | 00000003 fffffff8 | 00000028 00000014 |  0  00000000
  000e1 | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 | 11  00000028
  000e2 | 00400098 | 200e0001 0 0  0  0 14 | 00000003 00000001 | 00000000 00000000 |  0  00000000
  000e3 | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000001 00000000 |  0  00000000
  000e4 | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000001
  000e5 | 004000a0 | 000c6042 0 0  0 12 12 | 00000001 00000002 | 00000000 00000000 | 14  00000001
  000e6 | 004000a4 | 012b4820 0 0  9 11  9 | 00000000 00000003 | 00000000 00000001 |  0  00000000
  000e7 | 004000a8 | 08100022 0 0  0  0  0 | 00000000 00000028 | 00000001 00000003 |  0  00000000
  000e8 | 00400088 | 000b5840 0 0  0 11 11 | 00000000 00000022 | 00000028 00000028 | 12  00000001
  000e9 | 0040008c | 1180fff8 0 0 12  0  0 | 00000000 00000028 | 00000000 00000000 |  9  00000028
  000ea | 00400090 | 00000000 0 0  0  0  0 | 00000001 fffffff8 | 00000050 00000028 |  0  00000000
  000eb | 00400094 | 318d0001 0 0 12  0 13 | 00000000 00000000 | 00000000 00000000 | 11  00000050
  000ec | 00400098 | 200e0001 0 0  0  0 14 | 00000001 00000001 | 00000000 00000000 |  0  00000000
  000ed | 0040009c | 15ae0002 1 0 13 14  0 | 00000000 00000001 | 00000001 00000000 |  0  00000000
  000ee | 0040009c | 15ae0002 0 1 13 14  0 | 00000000 00000000 | 00000001 00000000 | 13  00000001
  000ef | 004000a0 | 000c6042 0 0  0 12 12 | 00000001 00000002 | 00000000 00000000 | 14  00000001
  000f0 | 004000a4 | 012b4820 0 0  9 11  9 | 00000000 00000001 | 00000000 00000001 |  0  00000000
